"filename", "language", "JavaScript", "Vue", "CSS", "Markdown", "JSON", "HTML", "comment", "blank", "total"
"d:\征信git\data_center_page\data_center_page\.eslintrc.js", "JavaScript", 20, 0, 0, 0, 0, 0, 8, 2, 30
"d:\征信git\data_center_page\data_center_page\.postcssrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 2, 11
"d:\征信git\data_center_page\data_center_page\README.md", "Markdown", 0, 0, 0, 20, 0, 0, 0, 11, 31
"d:\征信git\data_center_page\data_center_page\build\build.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 7, 42
"d:\征信git\data_center_page\data_center_page\build\check-versions.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 10, 55
"d:\征信git\data_center_page\data_center_page\build\utils.js", "JavaScript", 82, 0, 0, 0, 0, 0, 5, 17, 104
"d:\征信git\data_center_page\data_center_page\build\vue-loader.conf.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"d:\征信git\data_center_page\data_center_page\build\webpack.base.conf.js", "JavaScript", 89, 0, 0, 0, 0, 0, 12, 4, 105
"d:\征信git\data_center_page\data_center_page\build\webpack.dev.conf.js", "JavaScript", 94, 0, 0, 0, 0, 0, 7, 7, 108
"d:\征信git\data_center_page\data_center_page\build\webpack.prod.conf.js", "JavaScript", 111, 0, 0, 0, 0, 0, 29, 8, 148
"d:\征信git\data_center_page\data_center_page\config\dev.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\征信git\data_center_page\data_center_page\config\index.js", "JavaScript", 40, 0, 0, 0, 0, 0, 29, 14, 83
"d:\征信git\data_center_page\data_center_page\config\prod.env.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\征信git\data_center_page\data_center_page\config\test.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\征信git\data_center_page\data_center_page\index.html", "HTML", 0, 0, 0, 0, 0, 12, 1, 1, 14
"d:\征信git\data_center_page\data_center_page\package-lock.json", "JSON", 0, 0, 0, 0, 23157, 0, 0, 1, 23158
"d:\征信git\data_center_page\data_center_page\package.json", "JSON", 0, 0, 0, 0, 141, 0, 0, 1, 142
"d:\征信git\data_center_page\data_center_page\src\App.vue", "Vue", 0, 44, 0, 0, 0, 0, 3, 3, 50
"d:\征信git\data_center_page\data_center_page\src\api\apiTestRequest.js", "JavaScript", 29, 0, 0, 0, 0, 0, 0, 6, 35
"d:\征信git\data_center_page\data_center_page\src\api\common.js", "JavaScript", 47, 0, 0, 0, 0, 0, 8, 3, 58
"d:\征信git\data_center_page\data_center_page\src\api\permission.js", "JavaScript", 43, 0, 0, 0, 0, 0, 9, 3, 55
"d:\征信git\data_center_page\data_center_page\src\api\request.js", "JavaScript", 88, 0, 0, 0, 0, 0, 11, 10, 109
"d:\征信git\data_center_page\data_center_page\src\api\secret.js", "JavaScript", 25, 0, 0, 0, 0, 0, 2, 2, 29
"d:\征信git\data_center_page\data_center_page\src\api\uploadRequest.js", "JavaScript", 97, 0, 0, 0, 0, 0, 13, 10, 120
"d:\征信git\data_center_page\data_center_page\src\api\waterMark.js", "JavaScript", 54, 0, 0, 0, 0, 0, 16, 9, 79
"d:\征信git\data_center_page\data_center_page\src\api\wxRequest.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 6, 29
"d:\征信git\data_center_page\data_center_page\src\assets\common\common.css", "CSS", 0, 0, 1758, 0, 0, 0, 32, 66, 1856
"d:\征信git\data_center_page\data_center_page\src\assets\icon\icon.css", "CSS", 0, 0, 341, 0, 0, 0, 0, 11, 352
"d:\征信git\data_center_page\data_center_page\src\assets\manage\dataMap\dataMap.css", "CSS", 0, 0, 315, 0, 0, 0, 0, 2, 317
"d:\征信git\data_center_page\data_center_page\src\assets\orgTree\orgTree.css", "CSS", 0, 0, 229, 0, 0, 0, 0, 2, 231
"d:\征信git\data_center_page\data_center_page\src\components\subUnit\Pagination\index.vue", "Vue", 0, 53, 0, 0, 0, 0, 7, 9, 69
"d:\征信git\data_center_page\data_center_page\src\main.js", "JavaScript", 63, 0, 0, 0, 0, 0, 11, 18, 92
"d:\征信git\data_center_page\data_center_page\src\router\index.js", "JavaScript", 307, 0, 0, 0, 0, 0, 42, 6, 355
"d:\征信git\data_center_page\data_center_page\src\store\index.js", "JavaScript", 400, 0, 0, 0, 0, 0, 13, 7, 420
"d:\征信git\data_center_page\data_center_page\src\views\index.vue", "Vue", 0, 66, 0, 0, 0, 0, 20, 4, 90
"d:\征信git\data_center_page\data_center_page\src\views\login\login.vue", "Vue", 0, 242, 0, 0, 0, 0, 10, 6, 258
"d:\征信git\data_center_page\data_center_page\src\views\manage\APIManage\APICollect.vue", "Vue", 0, 162, 0, 0, 0, 0, 4, 6, 172
"d:\征信git\data_center_page\data_center_page\src\views\manage\APIManage\APIDocument.vue", "Vue", 0, 22, 0, 0, 0, 0, 0, 4, 26
"d:\征信git\data_center_page\data_center_page\src\views\manage\APIManage\APIList.vue", "Vue", 0, 622, 0, 0, 0, 0, 11, 19, 652
"d:\征信git\data_center_page\data_center_page\src\views\manage\APIManage\components\APIDialog.vue", "Vue", 0, 551, 0, 0, 0, 0, 11, 5, 567
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataDevelop\components\offlineTasksDialog.vue", "Vue", 0, 315, 0, 0, 0, 0, 7, 6, 328
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataDevelop\offlineTasks.vue", "Vue", 0, 175, 0, 0, 0, 0, 123, 10, 308
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataDevelop\selfService.vue", "Vue", 0, 666, 0, 0, 0, 0, 71, 21, 758
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataDevelop\udfStudio.vue", "Vue", 0, 207, 0, 0, 0, 0, 4, 8, 219
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataIntegration\components\syncTasksDialog.vue", "Vue", 0, 1517, 0, 0, 0, 0, 52, 20, 1589
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataIntegration\dataImport.vue", "Vue", 0, 1117, 0, 0, 0, 0, 73, 17, 1207
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataIntegration\dataSource.vue", "Vue", 0, 396, 0, 0, 0, 0, 23, 12, 431
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataIntegration\groupJob.vue", "Vue", 0, 593, 0, 0, 0, 0, 30, 13, 636
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataIntegration\syncTasks.vue", "Vue", 0, 272, 0, 0, 0, 0, 51, 15, 338
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\components\graphBloodField.vue", "Vue", 0, 385, 0, 0, 0, 0, 63, 14, 462
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\components\graphBloodTable.vue", "Vue", 0, 429, 0, 0, 0, 0, 34, 13, 476
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\components\graphNodeBloodField.vue", "Vue", 0, 45, 0, 0, 0, 0, 1, 3, 49
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\components\graphNodeBloodTable.vue", "Vue", 0, 53, 0, 0, 0, 0, 1, 2, 56
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\dataTable.vue", "Vue", 0, 851, 0, 0, 0, 0, 51, 15, 917
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\dataTableOld.vue", "Vue", 0, 509, 0, 0, 0, 0, 41, 9, 559
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\level.vue", "Vue", 0, 225, 0, 0, 0, 0, 14, 7, 246
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\tableDetail.vue", "Vue", 0, 228, 0, 0, 0, 0, 1, 7, 236
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\theme.vue", "Vue", 0, 304, 0, 0, 0, 0, 8, 9, 321
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataModeling\themeOld.vue", "Vue", 0, 307, 0, 0, 0, 0, 8, 11, 326
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataQuality\dataComparison.vue", "Vue", 0, 770, 0, 0, 0, 0, 52, 16, 838
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataQuality\qualityMonitor.vue", "Vue", 0, 1152, 0, 0, 0, 0, 15, 21, 1188
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataQuality\qualityView.vue", "Vue", 0, 1072, 0, 0, 0, 0, 30, 23, 1125
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataQuality\runRecord.vue", "Vue", 0, 102, 0, 0, 0, 0, 3, 6, 111
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataQuality\tableExploration.vue", "Vue", 0, 760, 0, 0, 0, 0, 109, 21, 890
"d:\征信git\data_center_page\data_center_page\src\views\manage\dataQuality\templateRule.vue", "Vue", 0, 229, 0, 0, 0, 0, 10, 7, 246
"d:\征信git\data_center_page\data_center_page\src\views\manage\home\home.vue", "Vue", 0, 102, 0, 0, 0, 0, 0, 4, 106
"d:\征信git\data_center_page\data_center_page\src\views\manage\manage.vue", "Vue", 0, 268, 0, 0, 0, 0, 25, 13, 306
"d:\征信git\data_center_page\data_center_page\src\views\manage\messageCenter\messageCenter.vue", "Vue", 0, 120, 0, 0, 0, 0, 1, 6, 127
"d:\征信git\data_center_page\data_center_page\src\views\manage\operationCenter\caseList.vue", "Vue", 0, 141, 0, 0, 0, 0, 9, 6, 156
"d:\征信git\data_center_page\data_center_page\src\views\manage\operationCenter\operationView.vue", "Vue", 0, 424, 0, 0, 0, 0, 121, 18, 563
"d:\征信git\data_center_page\data_center_page\src\views\manage\operationCenter\platformManage.vue", "Vue", 0, 24, 0, 0, 0, 0, 0, 5, 29
"d:\征信git\data_center_page\data_center_page\src\views\manage\powerCenter\approveManage.vue", "Vue", 0, 24, 0, 0, 0, 0, 0, 5, 29
"d:\征信git\data_center_page\data_center_page\src\views\manage\powerCenter\permissionApplication.vue", "Vue", 0, 24, 0, 0, 0, 0, 0, 5, 29
"d:\征信git\data_center_page\data_center_page\src\views\manage\powerCenter\projectManage.vue", "Vue", 0, 322, 0, 0, 0, 0, 4, 8, 334
"d:\征信git\data_center_page\data_center_page\src\views\manage\powerCenter\roleManage.vue", "Vue", 0, 24, 0, 0, 0, 0, 0, 5, 29
"d:\征信git\data_center_page\data_center_page\src\views\manage\powerCenter\teamManage.vue", "Vue", 0, 265, 0, 0, 0, 0, 6, 11, 282
"d:\征信git\data_center_page\data_center_page\src\views\manage\powerCenter\userManage.vue", "Vue", 0, 315, 0, 0, 0, 0, 6, 9, 330
"d:\征信git\data_center_page\data_center_page\src\views\manage\propertyCenter\dataMap.vue", "Vue", 0, 283, 0, 0, 0, 0, 1, 9, 293
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaCenter\components\graphNode.vue", "Vue", 0, 71, 0, 0, 0, 0, 2, 2, 75
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaCenter\graphTest.vue", "Vue", 0, 511, 0, 0, 0, 0, 30, 12, 553
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaManage\decorationWords.vue", "Vue", 0, 245, 0, 0, 0, 0, 4, 7, 256
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaManage\derivativeWords.vue", "Vue", 0, 255, 0, 0, 0, 0, 6, 6, 267
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaManage\quotaDomain.vue", "Vue", 0, 202, 0, 0, 0, 0, 4, 7, 213
"d:\征信git\data_center_page\data_center_page\src\views\manage\quotaManage\timeCycle.vue", "Vue", 0, 209, 0, 0, 0, 0, 4, 7, 220
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\dataDesensitization.vue", "Vue", 0, 237, 0, 0, 0, 0, 14, 14, 265
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\dataSecurityLevel.vue", "Vue", 0, 232, 0, 0, 0, 0, 3, 10, 245
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\desensitizationRule.vue", "Vue", 0, 56, 0, 0, 0, 0, 1, 4, 61
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\operationalAudit.vue", "Vue", 0, 103, 0, 0, 0, 0, 3, 6, 112
"d:\征信git\data_center_page\data_center_page\src\views\manage\securityCenter\sensitiveType.vue", "Vue", 0, 236, 0, 0, 0, 0, 4, 10, 250
"d:\征信git\data_center_page\data_center_page\test\e2e\custom-assertions\elementCount.js", "JavaScript", 18, 0, 0, 0, 0, 0, 8, 2, 28
"d:\征信git\data_center_page\data_center_page\test\e2e\nightwatch.conf.js", "JavaScript", 40, 0, 0, 0, 0, 0, 1, 6, 47
"d:\征信git\data_center_page\data_center_page\test\e2e\runner.js", "JavaScript", 33, 0, 0, 0, 0, 0, 8, 8, 49
"d:\征信git\data_center_page\data_center_page\test\e2e\specs\test.js", "JavaScript", 12, 0, 0, 0, 0, 0, 5, 3, 20
"d:\征信git\data_center_page\data_center_page\test\unit\jest.conf.js", "JavaScript", 27, 0, 0, 0, 0, 0, 3, 1, 31
"d:\征信git\data_center_page\data_center_page\test\unit\setup.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 2, 4
"d:\征信git\data_center_page\data_center_page\test\unit\specs\HelloWorld.spec.js", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 2, 12
"Total", "-", 1878, 19134, 2643, 20, 23298, 12, 1464, 828, 49277